order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
1527801,18651,prior,3,2,15,13.0
1164053,43810,prior,30,1,13,7.0
1526289,163764,prior,15,5,10,2.0
1356263,56571,prior,12,3,13,8.0
2256752,153793,prior,4,0,10,14.0
222302,125909,prior,10,2,12,28.0
2788977,143642,prior,2,3,16,0.0
2092058,172425,prior,29,1,18,10.0
3356599,48936,prior,18,2,13,10.0
2742639,160420,prior,17,0,18,6.0
771747,27773,prior,1,6,15,
398840,110864,prior,5,3,17,24.0
2610507,43870,prior,3,1,10,9.0
1972973,129867,prior,30,2,11,6.0
373658,5767,train,4,0,14,15.0
709560,29267,prior,26,4,5,2.0
2154434,170560,prior,8,6,14,6.0
3364977,53541,prior,4,1,10,5.0
604890,30237,prior,4,3,8,15.0
1262838,65900,prior,5,6,6,8.0
2397162,120776,prior,23,0,12,5.0
2106974,85085,prior,4,4,15,17.0
1679933,23383,prior,23,6,8,1.0
2963105,97880,prior,6,0,12,25.0
1533080,131915,prior,17,1,18,2.0
1837287,96817,prior,24,0,21,2.0
699269,77330,train,6,2,12,7.0
807977,18645,prior,1,3,9,
2976247,14800,prior,8,1,17,7.0
1201588,8742,prior,38,4,10,30.0
1917281,70872,prior,29,3,13,6.0
1488067,147474,prior,27,4,16,6.0
3187761,12906,prior,37,0,13,4.0
233971,19824,prior,12,2,9,8.0
1916455,165016,prior,7,1,15,27.0
706641,91344,prior,10,0,12,11.0
510990,44250,prior,20,1,14,0.0
3071797,72501,prior,5,2,10,2.0
21101,180800,prior,28,2,15,6.0
1126880,172474,prior,5,0,15,25.0
1429714,152798,prior,15,0,8,6.0
2007056,40321,train,5,4,18,30.0
3282106,92342,prior,4,4,17,5.0
2928697,41266,prior,12,2,13,5.0
1535542,6293,prior,5,2,16,5.0
2524340,95543,prior,44,1,9,5.0
1050845,186525,prior,7,4,16,30.0
2528689,82352,prior,11,0,9,7.0
2318047,132456,prior,17,3,21,17.0
727225,8745,prior,7,0,18,21.0
1718418,97729,prior,40,1,13,3.0
1887485,8776,prior,1,0,14,
2873745,107673,train,22,6,15,25.0
1486179,89767,test,16,6,13,28.0
1320817,119079,prior,6,6,13,12.0
2087725,159408,prior,34,4,15,6.0
2630126,19392,prior,16,0,11,4.0
1207904,144766,prior,1,1,22,
2544855,201831,prior,2,2,12,17.0
403179,144825,prior,7,1,21,13.0
142426,105118,prior,4,1,14,8.0
1393702,123160,prior,14,0,17,7.0
681045,106179,prior,24,1,16,8.0
1789832,31472,prior,3,1,16,5.0
3332452,173933,prior,5,4,13,13.0
2225490,102747,prior,13,4,7,6.0
147827,27977,train,55,0,21,12.0
1718253,200553,prior,1,4,12,
1941179,131091,train,6,6,14,15.0
446529,181012,prior,4,3,11,30.0
1903052,128831,prior,16,4,15,5.0
2381838,47877,prior,10,0,14,16.0
601540,182633,prior,1,2,14,
962514,188463,prior,1,0,14,
3087902,130630,prior,7,5,11,8.0
820279,188140,prior,6,2,15,11.0
3064552,25347,prior,49,0,9,2.0
2008861,146381,prior,20,6,11,5.0
3292970,181426,prior,3,0,8,6.0
2150579,183257,prior,10,1,21,1.0
2155094,59355,prior,19,4,18,30.0
536731,137019,prior,2,1,17,30.0
1394039,19976,prior,9,4,18,3.0
1489667,165096,prior,10,2,5,16.0
3276222,30200,prior,7,5,22,4.0
1747872,47103,prior,67,4,19,2.0
1860876,177767,prior,3,0,12,7.0
2303021,44984,prior,9,1,11,12.0
384505,159267,prior,2,5,9,6.0
3045755,66252,prior,10,4,10,3.0
1124051,109031,prior,12,1,16,17.0
322025,91345,prior,22,0,15,6.0
1047784,111327,prior,46,0,10,2.0
1993829,23798,prior,4,0,16,6.0
2541457,174301,prior,15,4,16,2.0
2927938,2921,prior,4,2,13,9.0
226156,12611,prior,2,5,7,30.0
593900,38764,prior,31,3,23,12.0
1077443,71062,prior,27,6,15,5.0
1735588,13112,prior,9,2,19,12.0
2280357,98423,prior,6,1,14,30.0
1952879,31999,prior,14,5,11,11.0
1453608,63050,prior,9,1,18,5.0
1529816,198217,prior,93,1,16,0.0
2173992,169250,prior,2,5,12,11.0
291265,112631,prior,6,2,10,7.0
2133610,191777,prior,1,6,13,
266304,195439,prior,1,5,14,
1713333,98411,prior,99,1,15,3.0
1553563,22037,prior,31,6,21,6.0
3128148,101335,prior,6,1,23,21.0
2068407,169820,prior,19,4,21,3.0
3263241,110938,prior,9,1,23,6.0
127309,75762,prior,11,6,21,3.0
3239951,181887,prior,13,5,10,8.0
1332485,96095,prior,6,6,9,7.0
1696964,103334,prior,3,1,11,30.0
2215422,27809,prior,22,1,8,9.0
626848,139304,prior,33,5,8,5.0
2773175,183169,prior,41,1,10,12.0
322,36278,prior,2,1,9,7.0
2096734,7848,prior,10,1,12,6.0
823844,134286,prior,10,1,11,10.0
